m,status,page,image,file,title,skipped,error
70,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-70/,https://science.nasa.gov/wp-content/uploads/2023/04/potw1215a-jpg.webp,messier_images\M070_Messier_70.jpg,Messier 70,,
71,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-71/,https://science.nasa.gov/wp-content/uploads/2023/04/potw1018a-jpg.webp,messier_images\M071_Messier_71.jpg,Messier 71,,
72,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-72/,https://assets.science.nasa.gov/content/dam/science/missions/hubble/stars/globular-clusters/Hubble_M72_potw2516a.tif/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,messier_images\M072_Messier_72.jpg,Messier 72,,
73,404,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-73/,,,,True,
74,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-74/,https://science.nasa.gov/wp-content/uploads/2023/04/m74-xlarge_web-jpg.webp,messier_images\M074_Messier_74.jpg,Messier 74,,
75,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-75/,https://science.nasa.gov/wp-content/uploads/2023/04/m75.png,messier_images\M075_Messier_75.jpg,Messier 75,,
76,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-76/,https://science.nasa.gov/wp-content/uploads/2024/04/hubble-34th-littledumbell-sm-stsci-01htddrc7nr68q120setwhmsaq.png,messier_images\M076_Messier_76.jpg,Messier 76,,
77,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-77/,https://assets.science.nasa.gov/dynamicimage/assets/science/missions/hubble/galaxies/spiral/Hubble_M77_2025_potw2515a.jpg,messier_images\M077_Messier_77.jpg,Messier 77,,
78,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-78/,https://science.nasa.gov/wp-content/uploads/2023/04/m78_0-jpg.webp,messier_images\M078_Messier_78.jpg,Messier 78,,
79,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-79/,https://science.nasa.gov/wp-content/uploads/2023/04/m791343x1343.png,messier_images\M079_Messier_79.jpg,Messier 79,,
80,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-80/,https://science.nasa.gov/wp-content/uploads/2023/04/hubble_m80_wfc3_acs_comb_final2-jpg.webp,messier_images\M080_Messier_80.jpg,Messier 80,,
81,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-81/,https://science.nasa.gov/wp-content/uploads/2023/04/m81-print-jpg.webp,messier_images\M081_Messier_81.jpg,Messier 81,,
82,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-82/,https://science.nasa.gov/wp-content/uploads/2023/04/m82-jpg.webp,messier_images\M082_Messier_82.jpg,Messier 82,,
83,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-83/,https://science.nasa.gov/wp-content/uploads/2023/04/m83-jpg.webp,messier_images\M083_Messier_83.jpg,Messier 83,,
84,200,https://science.nasa.gov/mission/hubble/science/explore-the-night-sky/hubble-messier-catalog/messier-84/,https://assets.science.nasa.gov/dynamicimage/assets/science/missions/hubble/galaxies/elliptical/M84_1_wholegal_flat_FINAL3.jpg,messier_images\M084_Messier_84.jpg,Messier 84,,
